Ticker,YearMonth,DailyReturn,Return_7d,Return_14d,Return_30d,Volatility_14d,Volatility_30d,DownsideVol_30d,Sharpe_30d,MA_Spread,RSI_14,Volume_norm,BB_Position,MACD_Signal,Volume_Surge,Momentum_Accel,ATR_norm,Position_52w,Return_12m_skip1,Vol_Regime,MeanRev_Z,ESG_Score,Forward_Return,Regime,ESG_Risk_Label,Anomaly_Score,Anomaly_Raw
LII,2020-03,-0.0247838485465377,0.0041307328187443,-0.2032607696263924,-0.2579637162729269,0.0589652269719174,0.046047135012994,0.0294539074851094,-3.0560949627418887,-0.1675316082679922,38.17764966377406,-0.0223371020090249,0.3013587858022227,-0.6616359561612217,0.6412996293451754,0.2620944490916712,0.0986495333446761,0.1264051983900009,-0.0953857977772173,2.6752616790897714,-1.9555847538716404,903.0,0.0311409553942636,COVID crash,1,-1,-0.6377145742844097
LII,2022-04,-0.0439479864860024,-0.1498582240277398,-0.1636326196131631,-0.2118643937403391,0.0267951906812009,0.022420075573912,0.0169154749125882,-5.422435381279256,-0.1530425727973852,24.98022223052476,0.0041744083286769,-0.0452662994607583,-2.902725838813637,0.978177999625988,0.0620061697125993,0.0414519647960076,0.0,-0.1942758861858048,1.2699373967043737,-3.249693779721401,903.0,-0.0201229258810519,rate-hike bear,1,-1,-0.5811799402831361
LIN,2020-03,-0.0214932490068919,0.1434236939526543,-0.0052897595098613,-0.2224806811334332,0.0644727063285405,0.0501569222861279,0.0282885024032912,-2.2611868810012394,-0.0480624056018609,47.65016974027916,-0.0076782825385096,0.5479037302709152,2.5536780501054963,0.7357482866568793,0.3659043750860875,0.0758629559958339,0.3172307709173618,0.1376421542501731,3.2570711386718765,-1.0965343905215936,1396.0,0.0685328809948899,COVID crash,0,-1,-0.605108090089407
LIN,2025-10,-0.0270056099918991,-0.0702791387833103,-0.0839611165857672,-0.1267405484487578,0.0115297632359396,0.0099160752896233,0.0080700437225106,-7.138847919061334,-0.0860892190254891,18.81883601508285,0.0538191138665247,-0.1118105003387112,-2.591464267599358,1.910269669403462,0.0564614096654474,0.0187988638684524,0.1255662175600341,0.0017558742044925,0.9809729365191606,-3.320503035276182,1430.0,-0.0190772194017988,current,0,-1,-0.5789491234911429
LITE,2019-05,-0.0394018467915119,-0.1232668684037698,-0.3155758415413622,-0.3270701424771048,0.0414808535165415,0.0328505722212063,0.0268900299807825,-6.0765359996958805,-0.2574039201341718,21.275081989198316,-0.0127302516808993,0.167549784550833,-1.0974866244118946,0.6243371411217788,0.2038032740733349,0.0662130782705793,0.0948882086591822,0.0330550833355305,0.9003716360599701,-2.207568116238734,695.0,0.3197429759426176,2018 volatility,2,-1,-0.6342192786314967
LITE,2019-10,0.0954545281756404,0.1388585846253003,0.1642512114959751,0.0720273572201906,0.0299164716927487,0.0318725663165305,0.0161155562455625,1.3973148292957955,0.1499005936185143,71.14465218143405,0.1108685887230971,1.2643543962004289,0.8283025713913541,4.2428262536288655,0.0668312274051097,0.0287276048621664,0.958841396229795,-0.0852500597482717,1.1100864821839778,2.184952288404274,695.0,0.175550651795151,2018 volatility,2,-1,-0.5503700149478981
LITE,2020-03,-0.0052638602905287,0.1860315042185125,0.0258908784126781,-0.1296646589202064,0.0820022857680272,0.0659569658681314,0.0384840168814626,-0.6019001407259809,-0.0200554438959887,49.8838858871268,-0.0259817222794191,0.5459110309138128,0.8483615604313166,0.6633636432040095,0.3156961631387189,0.1097092486263072,0.6344023953673708,0.4277777785136376,2.208733523782201,-0.6914125250068707,695.0,0.0978291317831479,COVID crash,2,-1,-0.6114438013121327
LITE,2022-09,-0.0132392890664482,-0.0553794854094522,-0.164493725480681,-0.2603818318200315,0.0152460513095156,0.015181227897181,0.0114227899212165,-10.342932366888329,-0.1343119037461715,25.942965606065115,0.0310194353686225,0.1547294930937149,-0.318973866548633,1.416616372471548,0.2050023464105792,0.0309412489565053,0.0,0.0001197287062586,0.6044751887696902,-1.9197905868661875,695.0,0.0857517468220405,rate-hike bear,2,-1,-0.5823733066351212
LITE,2022-11,0.0263403676362017,-0.0224199665324802,-0.0056108845844528,-0.2264150771109236,0.020303845695808,0.0357960388615513,0.0311140317665694,-3.481443474056816,-0.1378489784878372,33.19870860267294,0.0444296575713706,0.3452714684226847,0.0777067289381214,1.1932526983782603,0.2039951105784434,0.0330165339817235,0.0260724815023279,-0.1419845588504892,1.425338067929662,-1.6359039134993048,695.0,-0.0504186481070831,rate-hike bear,2,-1,-0.55999515907516
LITE,2024-11,0.0381998890518229,0.0544374112636609,0.0372093357586043,0.2492099653784183,0.0295736795070248,0.0383690088579184,0.0143130383615199,3.362915945912193,0.1487658789533918,64.38747390836194,-0.0382642536152268,0.6880163698761218,-0.1093430390722831,0.4169864688917061,-0.1947725541147573,0.0456766739860357,0.95656637524722,0.5162413175805507,1.1454686716998117,1.7052249764581118,1336.0,-0.0347246663225528,AI bull run,0,-1,-0.5537750034416077
