Ticker,ESG_Score,Predicted_Return,Actual_Return,Sharpe_30d,Volatility_30d,n_months
COF,1226.0581395348838,0.018281013,0.016529672485790223,0.8979199902114379,0.022666158001914627,86
COHR,1384.8139534883721,0.029788442,0.03168660559515477,0.772009209393415,0.03275681329120254,86
COO,1120.0581395348838,0.008957553,0.0031650899240810203,0.456134090453811,0.016811777506584375,86
COP,1114.2325581395348,0.017878853,0.017117114743556056,0.4518026705284552,0.02217694008253605,86
COR,1018.7790697674419,0.008425978,0.02034978664614156,1.3442668213087674,0.014666261650893854,86
COST,1150.5232558139535,0.0034401445,0.02111380833775016,1.3408179953806014,0.012911449042334898,86
CPAY,741.0813953488372,0.012627574,0.008512782816268875,0.5043547161711383,0.01918805386762024,86
CPB,914.6744186046511,0.008821547,-0.000954385360448141,-0.007554139874150892,0.014887582866612578,86
CPRT,723.4883720930233,0.0075375736,0.014986614708623915,1.111052833688127,0.01643686171469602,86
CPT,1242.2325581395348,0.006948575,0.004978498548953504,0.7518998560552685,0.01444765893007078,86
CRH,795.0232558139535,0.010481682,0.020954774310900204,1.131314871440783,0.018104673612355383,86
CRL,950.1279069767442,0.018807141,0.009473150618886374,0.7077455726277367,0.022648489458265173,86
CRM,1220.1162790697674,0.012109855,0.007504611953011801,0.6107259641950017,0.021688649967187595,86
CSCO,941.2906976744187,0.006988398,0.010635576436807306,0.763591410871647,0.01483332054659251,86
CSGP,1003.1976744186046,0.012688943,0.004144670769348726,0.4944151971158448,0.02103640905642252,86
CSX,1368.5116279069769,0.011202637,0.011105391564520374,0.6756999521054704,0.015325710517401772,86
CTAS,734.5697674418604,0.009375449,0.01932433161949533,1.3734123043933808,0.015531052712655648,86
CTRA,984.5813953488372,0.019381065,0.012435477044066568,0.2346802256929167,0.021759167210283238,86
CTSH,1187.9418604651162,0.009493851,0.0028771577203376146,0.4161121528836964,0.016194861543828782,86
CVNA,1054.6976744186047,0.04696209,0.04110608965540941,0.8808120346922781,0.056075397417685115,86
CVS,792.2558139534884,0.008579758,0.00730354149281522,0.11180761851757719,0.017021224234570004,86
CVX,703.4186046511628,0.012302294,0.014352306588516188,0.5684423595891427,0.01709025256853959,86
D,915.0697674418604,0.008157263,0.003895579912080527,0.4992244970579322,0.013815458948970029,86
DAL,731.5930232558139,0.024549829,0.011537414494489601,0.41091181322843456,0.02446167718925845,86
DD,1041.2558139534883,0.011773743,0.0105141432893407,0.4817516599403978,0.01877394239673196,86
DE,1035.2790697674418,0.013147465,0.01911886222067796,0.7734383793869617,0.018613223140633704,86
DECK,934.8372093023256,0.017665254,0.0239456940349949,1.183831588491991,0.026932716999678898,86
DELL,1048.3372093023256,0.015251433,0.028482028448089506,0.9002228055529164,0.025915522320519666,86
DG,770.7674418604652,0.012366558,0.0057166842709206215,0.4162641243557981,0.018467569283969316,86
DGX,1034.8488372093022,0.011184499,0.014371136334283049,0.8798700508281587,0.014672858799258615,86
DHI,1118.8023255813953,0.020090185,0.022198542295489034,0.7796803220890702,0.02235794624749064,86
DHR,1271.8837209302326,0.0074166865,0.010288633610060436,0.9221870883756526,0.016663729068243368,86
DIS,725.7906976744187,0.012380435,0.0034605578109114703,0.025226529734096424,0.017452095832607695,86
DLR,784.546511627907,0.009309523,0.011272902633092262,0.7848043606513003,0.01755836507336732,86
DLTR,1130.7790697674418,0.011682958,0.006288130393664606,0.28055815568630027,0.022578544014757423,86
DOC,1143.639534883721,0.0103130005,-0.00018730911784799995,0.4398145201483494,0.016795978022296744,86
DOV,887.0581395348837,0.0076423045,0.013813784060866406,0.9233432509859204,0.015735611853642962,86
DPZ,1038.8953488372092,0.008847957,0.007607879635433146,0.5644671195254894,0.018548115172206288,86
DRI,1115.7674418604652,0.01548127,0.01408587395970544,0.8402403933867434,0.019864933531583712,86
DTE,924.4069767441861,0.0052235625,0.00857527211323539,0.792460971471123,0.012600771633350293,86
DUK,782.6860465116279,0.006374314,0.009360267324340083,0.9448397262382439,0.011812628946279219,86
DVA,1312.2790697674418,0.0105168065,0.017304943196892294,0.5569746345191215,0.020426928964956906,86
DVN,1134.546511627907,0.029376665,0.02190907066401038,0.5321926067029149,0.02891273390878712,86
DXCM,785.2093023255813,0.021105666,0.016315096061302766,0.5831246967985986,0.028186957407477512,86
EA,1226.2441860465117,0.007973099,0.011958483601080015,0.9177626341306065,0.01588118449813194,86
EBAY,840.3604651162791,0.013337167,0.017024625210609146,0.7427244517886947,0.01981815292657629,86
ECL,767.3488372093024,0.008032697,0.00939734197219255,0.8008045014854117,0.015084565493290418,86
ED,1146.593023255814,0.005048648,0.008968706898918037,0.6897275279526787,0.012360060937885579,86
EFX,1276.1860465116279,0.013302737,0.011567399992270067,0.6094696618854815,0.01922884680309643,86
EG,774.1860465116279,0.006660821,0.008882034208611084,0.616648278080341,0.016536668982298386,86
EIX,1130.3953488372092,0.007863226,0.010239825800265896,0.7748336991229267,0.016435768962970877,86
EL,970.4651162790698,0.016156206,-0.000197527154289746,0.5492918178713785,0.02254038034174906,86
ELV,866.1279069767442,0.01222235,0.004008177472965066,0.5497278859676897,0.01848739926572781,86
EME,927.3837209302326,0.011500604,0.03264466017603306,1.5221838258433624,0.020687787765425836,86
EMR,840.5,0.010604949,0.01388216442614718,0.7687419397608832,0.01667708553791845,86
EOG,1237.3720930232557,0.022227542,0.015107789794200398,0.2927278460246158,0.023519518689559336,86
EPAM,876.5348837209302,0.017944198,0.011795864008695587,0.9023240927555403,0.026359429052818024,86
EQIX,802.4069767441861,0.0057539097,0.014474840728442179,0.9119243528906343,0.016947945989011424,86
EQR,832.5930232558139,0.0064030346,0.0025595974633639148,0.5814828825747217,0.014925381108598165,86
EQT,753.4418604651163,0.030838631,0.021799641543542102,0.3963012170004498,0.03142815807089706,86
ERIE,1302.1046511627908,0.009911399,0.011857291279144415,0.3526232571883355,0.01847828949936149,86
ES,819.0116279069767,0.008998998,0.004782266951444377,0.6059160313518596,0.014558666192535959,86
ESS,1116.0697674418604,0.008108704,0.0036635579799967344,0.4833508941596177,0.015560383621409588,86
ETN,726.3023255813954,0.010890976,0.022383408788958323,1.2486796563428246,0.017985031217403403,86
ETR,725.4651162790698,0.0069725993,0.015979404748134675,1.210624709273681,0.014234312791682276,86
EVRG,767.6279069767442,0.006220118,0.009011750294680718,1.0203921698700897,0.01281626396802988,86
EW,1056.7441860465117,0.007325898,0.007851792655490023,0.561392985530208,0.019666483802906753,86
EXC,1118.9767441860465,0.0077672657,0.00863526535362011,0.8539316458512753,0.013630564747905957,86
EXPD,1393.6976744186047,0.0109177595,0.011971253721960855,0.6369780270257241,0.015269620496015551,86
EXPE,1362.3953488372092,0.021526732,0.01722317045329669,0.7665200421362177,0.025491815487565586,86
EXR,1024.906976744186,0.006670878,0.009516098675147102,0.7661621540464446,0.016548341055969487,86
F,1133.1976744186047,0.019769832,0.014191344967680687,0.44238921647739,0.024354172833690617,86
FANG,1381.8372093023256,0.0240425,0.02053902277435055,0.7401828642971661,0.027478198711247324,86
FAST,1357.8255813953488,0.0099761905,0.01778217140317376,0.9456424676698818,0.015251324248329498,86
FCX,798.8023255813954,0.02655953,0.028894019998044695,0.5984104290918415,0.02897685005582597,86
FDS,1097.2093023255813,0.006275425,0.0030719644376129085,0.42837325709410157,0.016704359070751205,86
FDX,1025.1627906976744,0.012343909,0.01434672036451843,0.5329245262707365,0.020743824367750466,86
FE,935.8953488372093,0.0068155285,0.00832390424393806,0.9911732427944859,0.013919055907909133,86
FFIV,784.0930232558139,0.010977583,0.010604162813642366,0.5455018228999239,0.018702504534430318,86
FICO,797.3488372093024,0.015641814,0.023993640014735394,0.9886715402118448,0.022565340886259062,86
FIS,1143.4418604651162,0.012273016,-0.003954082785181218,0.29382406654481447,0.017963002127671865,86
FISV,1149.639534883721,0.012327746,0.00046226805334015646,0.7308806686826455,0.01879363741723085,86
FITB,1060.3255813953488,0.017830184,0.014829650412439416,0.8360134438484826,0.02131458474144691,86
FIX,1033.0232558139535,0.0200183,0.04684000974350049,1.4043281428349608,0.0268792919841051,86
FRT,1209.1976744186047,0.012183207,0.004025288247972758,0.43582821649837844,0.01642825753704071,86
FSLR,1160.3139534883721,0.025978329,0.025566354622903326,0.6374566137235882,0.03140583665905569,86
FTNT,1152.453488372093,0.01620592,0.025348525886919174,0.9799894546962434,0.023547536902790062,86
